2014/11/08 02:00:01	Temp:14.00 	1:1022:0418:2.44251	2:0338:0303:1.11539	3:0394:0340:1.15991	4:0142:0230:0.61794
2014/11/08 02:00:07	Temp:14.00 	1:1022:0417:2.45262	2:0336:0302:1.11384	3:0393:0339:1.15932	4:0141:0229:0.61713
2014/11/08 02:00:13	Temp:14.00 	1:1022:0417:2.45143	2:0336:0302:1.11335	3:0393:0339:1.15964	4:0141:0229:0.61763
2014/11/08 02:00:18	Temp:14.00 	1:1022:0417:2.45186	2:0336:0302:1.11426	3:0393:0339:1.15949	4:0141:0229:0.61773
2014/11/08 02:00:24	Temp:14.00 	1:1022:0417:2.45232	2:0336:0302:1.11415	3:0394:0340:1.15973	4:0142:0230:0.61729
2014/11/08 02:00:30	Temp:14.00 	1:1022:0417:2.45236	2:0336:0302:1.11389	3:0393:0339:1.15961	4:0141:0229:0.61740
2014/11/08 02:00:36	Temp:14.00 	1:1022:0417:2.45193	2:0336:0302:1.11398	3:0393:0339:1.15948	4:0141:0229:0.61753
2014/11/08 02:00:41	Temp:14.00 	1:1022:0417:2.45199	2:0336:0302:1.11405	3:0393:0339:1.16016	4:0141:0229:0.61785
2014/11/08 02:00:47	Temp:14.00 	1:1022:0417:2.45239	2:0336:0302:1.11386	3:0393:0339:1.16000	4:0141:0229:0.61784
2014/11/08 02:00:53	Temp:14.00 	1:1022:0418:2.44254	2:0338:0303:1.11484	3:0394:0340:1.15964	4:0142:0230:0.61762
2014/11/08 02:00:59	Temp:14.00 	1:1022:0416:2.45355	2:0336:0302:1.11436	3:0393:0339:1.15959	4:0141:0229:0.61750
2014/11/08 02:01:05	Temp:14.00 	1:1022:0416:2.45353	2:0336:0302:1.11415	3:0393:0339:1.15970	4:0141:0229:0.61793
2014/11/08 02:01:10	Temp:14.00 	1:1022:0416:2.45338	2:0336:0302:1.11456	3:0393:0339:1.16002	4:0141:0229:0.61731
2014/11/08 02:01:16	Temp:14.00 	1:1022:0417:2.45280	2:0336:0302:1.11439	3:0394:0340:1.15968	4:0142:0230:0.61815
2014/11/08 02:01:22	Temp:14.00 	1:1022:0417:2.45304	2:0336:0302:1.11377	3:0393:0339:1.15969	4:0141:0229:0.61777
2014/11/08 02:01:28	Temp:14.00 	1:1022:0417:2.45246	2:0336:0302:1.11416	3:0393:0339:1.16007	4:0141:0229:0.61771
2014/11/08 02:01:33	Temp:14.00 	1:1022:0417:2.45252	2:0336:0302:1.11441	3:0393:0339:1.15971	4:0141:0229:0.61748
2014/11/08 02:01:39	Temp:14.00 	1:1022:0416:2.45334	2:0336:0302:1.11463	3:0393:0339:1.15947	4:0141:0229:0.61732
2014/11/08 02:01:45	Temp:14.00 	1:1022:0418:2.44241	2:0338:0303:1.11485	3:0394:0340:1.15987	4:0142:0230:0.61798
2014/11/08 02:01:51	Temp:14.00 	1:1022:0417:2.45255	2:0336:0302:1.11488	3:0393:0339:1.15937	4:0141:0229:0.61739
2014/11/08 02:01:57	Temp:14.00 	1:1022:0417:2.45227	2:0336:0302:1.11386	3:0393:0339:1.15955	4:0141:0229:0.61762
2014/11/08 02:02:02	Temp:14.00 	1:1022:0417:2.45273	2:0336:0302:1.11380	3:0393:0339:1.15896	4:0141:0229:0.61743
